                                                                                            List of relations
 Schema |                              Name                               | Type  |   Owner    |                     Table                      | Persistence | Access method |    Size    | Description 
--------+-----------------------------------------------------------------+-------+------------+------------------------------------------------+-------------+---------------+------------+-------------
 public | afp_holding_id_b566c6bd                                         | index | admin_prod | afp                                            | permanent   | btree         | 16 kB      | 
 public | afp_holding_id_codigo_847826b9_uniq                             | index | admin_prod | afp                                            | permanent   | btree         | 16 kB      | 
 public | afp_pkey                                                        | index | admin_prod | afp                                            | permanent   | btree         | 16 kB      | 
 public | apk_links_holding_id_e879b885                                   | index | admin_prod | apk_links                                      | permanent   | btree         | 8192 bytes | 
 public | apk_links_pkey                                                  | index | admin_prod | apk_links                                      | permanent   | btree         | 8192 bytes | 
 public | apk_links_token_3002acf4_like                                   | index | admin_prod | apk_links                                      | permanent   | btree         | 8192 bytes | 
 public | apk_links_token_key                                             | index | admin_prod | apk_links                                      | permanent   | btree         | 8192 bytes | 
 public | apk_links_usuario_creador_id_809f183d                           | index | admin_prod | apk_links                                      | permanent   | btree         | 8192 bytes | 
 public | areas_administracion_holding_id_65078126                        | index | admin_prod | areas_administracion                           | permanent   | btree         | 16 kB      | 
 public | areas_administracion_pkey                                       | index | admin_prod | areas_administracion                           | permanent   | btree         | 16 kB      | 
 public | areas_clientes_holding_id_d2e0e30a                              | index | admin_prod | areas_clientes                                 | permanent   | btree         | 16 kB      | 
 public | areas_clientes_pkey                                             | index | admin_prod | areas_clientes                                 | permanent   | btree         | 16 kB      | 
 public | asociacion_codigo_qr_pkey                                       | index | admin_prod | asociacion_codigo_qr                           | permanent   | btree         | 8192 bytes | 
 public | asociacion_codigo_qr_trabajador_id_86f60180                     | index | admin_prod | asociacion_codigo_qr                           | permanent   | btree         | 8192 bytes | 
 public | auth_group_name_a6ea08ec_like                                   | index | admin_prod | auth_group                                     | permanent   | btree         | 8192 bytes | 
 public | auth_group_name_key                                             | index | admin_prod | auth_group                                     | permanent   | btree         | 8192 bytes | 
 public | auth_group_permissions_group_id_b120cbf9                        | index | admin_prod | auth_group_permissions                         | permanent   | btree         | 8192 bytes | 
 public | auth_group_permissions_group_id_permission_id_0cd325b0_uniq     | index | admin_prod | auth_group_permissions                         | permanent   | btree         | 8192 bytes | 
 public | auth_group_permissions_permission_id_84c5c92e                   | index | admin_prod | auth_group_permissions                         | permanent   | btree         | 8192 bytes | 
 public | auth_group_permissions_pkey                                     | index | admin_prod | auth_group_permissions                         | permanent   | btree         | 8192 bytes | 
 public | auth_group_pkey                                                 | index | admin_prod | auth_group                                     | permanent   | btree         | 8192 bytes | 
 public | auth_permission_content_type_id_2f476e4b                        | index | admin_prod | auth_permission                                | permanent   | btree         | 16 kB      | 
 public | auth_permission_content_type_id_codename_01ab375a_uniq          | index | admin_prod | auth_permission                                | permanent   | btree         | 40 kB      | 
 public | auth_permission_pkey                                            | index | admin_prod | auth_permission                                | permanent   | btree         | 32 kB      | 
 public | banco_codigo_sbif_48edfdf3_like                                 | index | admin_prod | banco                                          | permanent   | btree         | 16 kB      | 
